platform,keyword,company,company_name,company_page_link,job,job_name,job_page_link,update_time,location
Glassdoor,creative developer,Aquent,Aquent,None,[Digital Front   End Designer   Developer  onsite ](https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&cs=1_fd143524&cb=1640722318788&jobListingId=1007510636715&cpc=42BEC95245890617&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-c2355aa546061636--6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdxn58ZTBm4zrpBZ8v0C8MdXf1DkE6v6UxgShMVGdpvTxd_4XAXlh3ivLdzL-jCIC2IJBwH5ENTlIjjKUdI0hMFZu8JQhV7rMvKzrr0xGttp5iIPSd-t3vsv40pB-PfDZS2BqFVMo8i4zOynWsDkU5eckpxtEpn5UhS1ZiYJ_2DqD4Ejrg9Rd2_bTkKRY3Pul_Z_aRvtnOs0ZmOVhTslBeRo52JjJzVrIz1P-Umndc9TM_cGgbZhT-C_6mEEz7FOQkAYtnDbzbAKYJ_973zuqaPXEmHAzO41_acdw6Pkr2TkcFCNj_Qg56C7HXUmw8UAEaB91a-_LB3J6c5yZbchqrhmwDbxlPPUzLePV_aVEZKLzQejF6PMK-o3CaStrmBJfLU%3D),Digital Front   End Designer   Developer  onsite ,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&cs=1_fd143524&cb=1640722318788&jobListingId=1007510636715&cpc=42BEC95245890617&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-c2355aa546061636--6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdxn58ZTBm4zrpBZ8v0C8MdXf1DkE6v6UxgShMVGdpvTxd_4XAXlh3ivLdzL-jCIC2IJBwH5ENTlIjjKUdI0hMFZu8JQhV7rMvKzrr0xGttp5iIPSd-t3vsv40pB-PfDZS2BqFVMo8i4zOynWsDkU5eckpxtEpn5UhS1ZiYJ_2DqD4Ejrg9Rd2_bTkKRY3Pul_Z_aRvtnOs0ZmOVhTslBeRo52JjJzVrIz1P-Umndc9TM_cGgbZhT-C_6mEEz7FOQkAYtnDbzbAKYJ_973zuqaPXEmHAzO41_acdw6Pkr2TkcFCNj_Qg56C7HXUmw8UAEaB91a-_LB3J6c5yZbchqrhmwDbxlPPUzLePV_aVEZKLzQejF6PMK-o3CaStrmBJfLU%3D,12d,"Houston, TX"
Glassdoor,creative developer,Aquent,Aquent,None,[Digital Designer   Email Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&cs=1_d79fef69&cb=1640722318787&jobListingId=1007524066028&cpc=D69957E0862862E0&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-1e123943e040de71--6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdziOEKDLbGRlFkRhoOl26xotJ3Lglj7uPPLtOyKsqTsrWAdU9yUbOe8djYloaUF7c1PzEMapM_jRd7nJyhrjH6VDEDwRXL0ibzsGqnaddruHh2AjPuU1Dt3SIKNSULcNd46csnovZWyUefSV6jjPiCmkAMthznErHjFosc0NID0wJk8kcilD4km2AmF5T2zDOEBO7K2RjdY33Y2LXpRVsisEgHJ4OLUEeCip9xSeUbVZ7AF6hNhJQCPA9EMYU30CyL_GpkkwUD2kLi1WeXLLMEasnxZi0MKyWDN_GyyKG2lFjzP0U68JJVMd7apcs1QtWkwHDfoOdr6f-920Kbc5OeHmVpJKY-0tsk1VxNIDsa5hVkusMbXuMdhm-8FvrbNuaw%3D),Digital Designer   Email Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&cs=1_d79fef69&cb=1640722318787&jobListingId=1007524066028&cpc=D69957E0862862E0&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-1e123943e040de71--6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdziOEKDLbGRlFkRhoOl26xotJ3Lglj7uPPLtOyKsqTsrWAdU9yUbOe8djYloaUF7c1PzEMapM_jRd7nJyhrjH6VDEDwRXL0ibzsGqnaddruHh2AjPuU1Dt3SIKNSULcNd46csnovZWyUefSV6jjPiCmkAMthznErHjFosc0NID0wJk8kcilD4km2AmF5T2zDOEBO7K2RjdY33Y2LXpRVsisEgHJ4OLUEeCip9xSeUbVZ7AF6hNhJQCPA9EMYU30CyL_GpkkwUD2kLi1WeXLLMEasnxZi0MKyWDN_GyyKG2lFjzP0U68JJVMd7apcs1QtWkwHDfoOdr6f-920Kbc5OeHmVpJKY-0tsk1VxNIDsa5hVkusMbXuMdhm-8FvrbNuaw%3D,5d,"Chicago, IL"
Glassdoor,creative developer,Aquent,Aquent,None,[Senior Web Designer   Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ac0ba11&cb=1640722318787&jobListingId=1007531285797&cpc=C3517E2410EFB392&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-b043dee8dc6dafba--6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdw_i0rGBjAhoKCdQxFyzBAJ3UlI0S_r0H9W39PZ8GcGF2FZ44vLp0mLBeLxXivCXbTYuSi5-IG10QNcysR3buFxmvHXwkcGRTPaFiV7UrNdjUPWrIVkbuyhtf91Nyo8TSdfXeI6pPoknhFaAZN9uQfO2sJOAfcIrvu2Lr-9pzkZzjVIZjSb7AG88c1YjD3XXRONgd92gkTklruMlVbl27St_PJ4syTHREiZ8ZJ4A0Rt-fNM-neNfjHY0p6Qe2LMAWzE0zgcJhZH9FKQ42C3ZfhMx9uDrWKINM-cwBmyG2zqOL7bo2B6VjvPDRs7Kq29N03zKL8Oa48tEyIPIF8SgApXez_pfxddyR-l43xitvLDzy2worjChtpZsxOPUn1PLsM%3D),Senior Web Designer   Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ac0ba11&cb=1640722318787&jobListingId=1007531285797&cpc=C3517E2410EFB392&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-b043dee8dc6dafba--6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdw_i0rGBjAhoKCdQxFyzBAJ3UlI0S_r0H9W39PZ8GcGF2FZ44vLp0mLBeLxXivCXbTYuSi5-IG10QNcysR3buFxmvHXwkcGRTPaFiV7UrNdjUPWrIVkbuyhtf91Nyo8TSdfXeI6pPoknhFaAZN9uQfO2sJOAfcIrvu2Lr-9pzkZzjVIZjSb7AG88c1YjD3XXRONgd92gkTklruMlVbl27St_PJ4syTHREiZ8ZJ4A0Rt-fNM-neNfjHY0p6Qe2LMAWzE0zgcJhZH9FKQ42C3ZfhMx9uDrWKINM-cwBmyG2zqOL7bo2B6VjvPDRs7Kq29N03zKL8Oa48tEyIPIF8SgApXez_pfxddyR-l43xitvLDzy2worjChtpZsxOPUn1PLsM%3D,24h,"Richmond, VA"
Glassdoor,creative developer,Cheramy Story Arts   Marketing,Cheramy Story Arts   Marketing,None,[Web Designer Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2ca70f2c&cb=1640722318787&jobListingId=1007521301554&cpc=155EB9D5185558AF&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-d138693dd44b1464--6NYlbfkN0BK9GXDcakwdiqmeo8o-2GvkYnmPkq7xevAHdeF_847qp19ZICumveElJNYXMG14WLHM3lcTwG4aU3nD3h6efActRGE4bWzg81fTBjmGzswqY2AmrIoIjG-ZzFW9nlyw5Aag-3ldx-YGmlLvoH0tayCVacL408bNExN6mpxIu1fzmXkGLtzxr83w4x34Uyr2Wp36vsJ1x6OaqnxV59n623vS0DppKkKi-sbR-rb22ahu1heH03o5am6gobbY1vGB0wfSvimJ46FGTXFIpOs0KEyq7uD5j6Ww0kmtaJTvNnN8abBeMnP1j9tauPjd7uKGQG0V7oZG_ew17AWNR5O1jgyZOVa57cVeC2OuyApUmcooD-oHFuV6yfyXCe0eGRktxpemgZ7UwCnKBFixsX9ehdudcKBh56yBrMlOq0R4TTvlf1nW9do0XipK2esBMG_jqbMJC41Z03bOot_I56WLIOEnThE8Wzz81ifBmHMl2-AAaYFsWKGIOkU),Web Designer Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2ca70f2c&cb=1640722318787&jobListingId=1007521301554&cpc=155EB9D5185558AF&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-d138693dd44b1464--6NYlbfkN0BK9GXDcakwdiqmeo8o-2GvkYnmPkq7xevAHdeF_847qp19ZICumveElJNYXMG14WLHM3lcTwG4aU3nD3h6efActRGE4bWzg81fTBjmGzswqY2AmrIoIjG-ZzFW9nlyw5Aag-3ldx-YGmlLvoH0tayCVacL408bNExN6mpxIu1fzmXkGLtzxr83w4x34Uyr2Wp36vsJ1x6OaqnxV59n623vS0DppKkKi-sbR-rb22ahu1heH03o5am6gobbY1vGB0wfSvimJ46FGTXFIpOs0KEyq7uD5j6Ww0kmtaJTvNnN8abBeMnP1j9tauPjd7uKGQG0V7oZG_ew17AWNR5O1jgyZOVa57cVeC2OuyApUmcooD-oHFuV6yfyXCe0eGRktxpemgZ7UwCnKBFixsX9ehdudcKBh56yBrMlOq0R4TTvlf1nW9do0XipK2esBMG_jqbMJC41Z03bOot_I56WLIOEnThE8Wzz81ifBmHMl2-AAaYFsWKGIOkU,7d,"Madison, WI"
Glassdoor,creative developer,ColorArt Printing  LLC,ColorArt Printing  LLC,None,[Junior Web Designer   Front End Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_237ccc6a&cb=1640722318838&jobListingId=1007523837063&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-af7fcadcfc5b63c3-),Junior Web Designer   Front End Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_237ccc6a&cb=1640722318838&jobListingId=1007523837063&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-af7fcadcfc5b63c3-,5d,Remote
Glassdoor,creative developer,Confidential,Confidential,None,[Website Designer Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ee4af12c&cb=1640722318786&jobListingId=1007525390822&cpc=155EB9D5185558AF&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-a38d6377a419df2e--6NYlbfkN0APFXffbM7EUm9LHltBe5RwVHTfDAgMR2zI4KMWHBZ4DizR95eZqsCEfUxYLDXxk2tWHjTZRC5y4nkz9ap8Y57yzbNX4u1KxijA6Qxcdsrblxx9NccAO_eYwDT_xjRrhtazO20iYa6MIZzd74nuMerUiTtXlYa1BFhBYefgnTdfDyMr3Pvt0KEjj0_5xy3V0YkIkY9xGVqDqpHb6QV184LI_Fc7qKAQdMb3XPsOxydxoufJ5jm3MswotKTCZxrFGeX53pbEZSoJkXttO56mPTcML_qQCdMzkqrPXXFZqtuMioEgO1TfmGE4i-Nmxk4ezZyOLabn04MGcNhMuinPy9exISc1v4QlcPQqaoz3vB_JQOhHMgYPzpQg-whVT6Gjh4bH2i4yw1NyMywaC2ThCjRKqRhLmETfCi7Av2cb1LOjEznDPMzvzP7Y4tJcZ7bdJVN64sKRFC336jsNXM6Z85g7i5c4lCZQNbVlOSNo2l8LIBG9ih_wJZ8T),Website Designer Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ee4af12c&cb=1640722318786&jobListingId=1007525390822&cpc=155EB9D5185558AF&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-a38d6377a419df2e--6NYlbfkN0APFXffbM7EUm9LHltBe5RwVHTfDAgMR2zI4KMWHBZ4DizR95eZqsCEfUxYLDXxk2tWHjTZRC5y4nkz9ap8Y57yzbNX4u1KxijA6Qxcdsrblxx9NccAO_eYwDT_xjRrhtazO20iYa6MIZzd74nuMerUiTtXlYa1BFhBYefgnTdfDyMr3Pvt0KEjj0_5xy3V0YkIkY9xGVqDqpHb6QV184LI_Fc7qKAQdMb3XPsOxydxoufJ5jm3MswotKTCZxrFGeX53pbEZSoJkXttO56mPTcML_qQCdMzkqrPXXFZqtuMioEgO1TfmGE4i-Nmxk4ezZyOLabn04MGcNhMuinPy9exISc1v4QlcPQqaoz3vB_JQOhHMgYPzpQg-whVT6Gjh4bH2i4yw1NyMywaC2ThCjRKqRhLmETfCi7Av2cb1LOjEznDPMzvzP7Y4tJcZ7bdJVN64sKRFC336jsNXM6Z85g7i5c4lCZQNbVlOSNo2l8LIBG9ih_wJZ8T,5d,"Dallas, TX"
Glassdoor,creative developer,CyberCoders,CyberCoders,None,[Email Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_894b73a2&cb=1640722318838&jobListingId=1007529149965&cpc=334ABAF5D42DC775&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-b1559b8e169aad76--6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t6StC-9iRwBm4OHDg0-3NI3_rABHvX5l_gUt3jDJ45iup1ZjIsYZMxhaWJfTl_DAtPODqpzjFT-jRFKi66-GUDIX2fp_8Xo0dsAsFCP2AcEv0tsfl478NT4-2sgwuoxWUaF8_UBjWYx2w36C0wmWcid7-Yahd4z00Aeo8hdrvg7nWfzS6ruwCiCy-jTtya8FnlwBTf5ixnzSTtYizFxOVBRRLuos8MaU_qR33itU_NJdNLhXhWIF1Iqc2kSDXT2eyVfG-4TTtGpQav97oJkAdlZKhVjp7exUMc09oc0KlcEz7TCgpCkf4jTv0UWhWyKirjW7DdGUL5Ny7e4-zvTsRdvuE3PTHC1LchO-ila1UL-BW27f5waFNhNPF3eks6MHa_F0AFtv7rcVMKt8Y_SSG_URZDkDrnxPNKy8WGQkYFJvXKg0sgvHIqdymzLvv80SGT1RYCA0FxF-iJYmFt5qP4c4sKsnhc3wNSRySRAT3hA3WaR-TyS597MvZcMpwQovIaELEmYnpXvqFOsaBvj1HjhB2ZgEO553w5iFllLL8uMTJr85LYIWT6c-YO873zcrfnqFhmiH9q7Vlkfyn3D_3ThAw5v1SWBNihBuvNUHhtRAY5OfadYah0Sl96XTETjQZ8MEwhgErclK-EVQF68tqeRmp5f8UtwBtGd6_0rfT1ulbxUof5rt_-A86jeLgTgk2efH_VZlrUi7zByzVxwDc3LRgP_FOZLU-Gdbvrapfv7Zp17b0C5eg5u0_b2UnkR36tV6nmArGEcvaVZhgIhWQgC_MvzHClW3hVJxLfclnIoOEOV3iitzT04CeIl5dAKsXt8MzVYdG8lOig9or1k5iUiuKgSYkSwXJE8hALIzTIYHw_a5z8iBiK5jUy_FRwGNQIm6W5q1qYcNFrCKttf3cgQ),Email Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_894b73a2&cb=1640722318838&jobListingId=1007529149965&cpc=334ABAF5D42DC775&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-b1559b8e169aad76--6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t6StC-9iRwBm4OHDg0-3NI3_rABHvX5l_gUt3jDJ45iup1ZjIsYZMxhaWJfTl_DAtPODqpzjFT-jRFKi66-GUDIX2fp_8Xo0dsAsFCP2AcEv0tsfl478NT4-2sgwuoxWUaF8_UBjWYx2w36C0wmWcid7-Yahd4z00Aeo8hdrvg7nWfzS6ruwCiCy-jTtya8FnlwBTf5ixnzSTtYizFxOVBRRLuos8MaU_qR33itU_NJdNLhXhWIF1Iqc2kSDXT2eyVfG-4TTtGpQav97oJkAdlZKhVjp7exUMc09oc0KlcEz7TCgpCkf4jTv0UWhWyKirjW7DdGUL5Ny7e4-zvTsRdvuE3PTHC1LchO-ila1UL-BW27f5waFNhNPF3eks6MHa_F0AFtv7rcVMKt8Y_SSG_URZDkDrnxPNKy8WGQkYFJvXKg0sgvHIqdymzLvv80SGT1RYCA0FxF-iJYmFt5qP4c4sKsnhc3wNSRySRAT3hA3WaR-TyS597MvZcMpwQovIaELEmYnpXvqFOsaBvj1HjhB2ZgEO553w5iFllLL8uMTJr85LYIWT6c-YO873zcrfnqFhmiH9q7Vlkfyn3D_3ThAw5v1SWBNihBuvNUHhtRAY5OfadYah0Sl96XTETjQZ8MEwhgErclK-EVQF68tqeRmp5f8UtwBtGd6_0rfT1ulbxUof5rt_-A86jeLgTgk2efH_VZlrUi7zByzVxwDc3LRgP_FOZLU-Gdbvrapfv7Zp17b0C5eg5u0_b2UnkR36tV6nmArGEcvaVZhgIhWQgC_MvzHClW3hVJxLfclnIoOEOV3iitzT04CeIl5dAKsXt8MzVYdG8lOig9or1k5iUiuKgSYkSwXJE8hALIzTIYHw_a5z8iBiK5jUy_FRwGNQIm6W5q1qYcNFrCKttf3cgQ,1d,"Los Angeles, CA"
Glassdoor,creative developer,CyberCoders,CyberCoders,None,[100  REMOTE Software Engineering Manager  Media Broadcast ](https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_eb54d187&cb=1640722318837&jobListingId=1007528587590&cpc=334ABAF5D42DC775&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-3fe22e91fa64e552--6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4cTJoHmKBQLa1di3x1psLT3tt0zKlXqiE4OTc_pTrgaY9H0ivZJiSzD0Vq4JZnQWPSXuCTGXFyTeTFlaYtMBT7siMPtuDgCYQhpShm42ddCtC-Cf5_1bQd4BXg058WK44jJTtQxAr16xA_SKLgP0fiVT1z4Rs2ppV9dUyZ_Oxod8NyEme0wERHA1oD8gpCdldXngeVpO0y10bJiy0TPysqucJrwbz3R3S9JUbOEHMa80S6xwIhGQ55YPGjtxU489mGj6Y2-wLQsjsxDkrATetpF8azwltoBQIXKKsOLd3AAzwmhsQd3cuJrlSc81uLFcJrTFie9qD1QrTLfnR_SQb3GSkGDSp3u3nuFDXVf2jWPTqQC-ANZQGtOSNwEQdC_HiQ8APS-71Uwc7SLUJp-l8A-t-Lg6p8rN_cALScYqo0Yr3VDiE-GvJulK21KYrnSI0UqjVYZS59kNOQg0_nMs46ZAKN8coa6VnvdI6BNy-EXuzwZCWV7guIzjMWOIvrx-tP-yS5FvnxQR4ZSAOCRvWWxE-wCVNL1iF6TGQX0DwN-QfS76msnrAh9abzoe0PAoUFGObtqoqOpEbQ2z8hPHvG1ciYSbOORc99gkNkT9N17LQLo87pte5mtaY3cPrm6c6MbcuG0_JpPk7XyK4mIkuPxV-VFHXKnyI85SRnRM-LejnLlbI-xc1Sp_pevhtBEmTBw58VW2kFQRTfEsIfAdsqoHfjHUIhjn7_x_nHhBmEcVBIRvEQiBGIPuDk0CoK8XiQxnlTuqCICWgnAKCRpOCypDDTdzyENgPIho3343-2F_qQJdZJL-sPaA7wukITjHpeok4Xt9DY1PYZD6oclLR-I6ttcEZeAiTfGfiohVUkB1tNJlgh01-u8ML8eCOtfK6nBu2X1nTzChOtdArEbQKB),100  REMOTE Software Engineering Manager  Media Broadcast ,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_eb54d187&cb=1640722318837&jobListingId=1007528587590&cpc=334ABAF5D42DC775&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-3fe22e91fa64e552--6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4cTJoHmKBQLa1di3x1psLT3tt0zKlXqiE4OTc_pTrgaY9H0ivZJiSzD0Vq4JZnQWPSXuCTGXFyTeTFlaYtMBT7siMPtuDgCYQhpShm42ddCtC-Cf5_1bQd4BXg058WK44jJTtQxAr16xA_SKLgP0fiVT1z4Rs2ppV9dUyZ_Oxod8NyEme0wERHA1oD8gpCdldXngeVpO0y10bJiy0TPysqucJrwbz3R3S9JUbOEHMa80S6xwIhGQ55YPGjtxU489mGj6Y2-wLQsjsxDkrATetpF8azwltoBQIXKKsOLd3AAzwmhsQd3cuJrlSc81uLFcJrTFie9qD1QrTLfnR_SQb3GSkGDSp3u3nuFDXVf2jWPTqQC-ANZQGtOSNwEQdC_HiQ8APS-71Uwc7SLUJp-l8A-t-Lg6p8rN_cALScYqo0Yr3VDiE-GvJulK21KYrnSI0UqjVYZS59kNOQg0_nMs46ZAKN8coa6VnvdI6BNy-EXuzwZCWV7guIzjMWOIvrx-tP-yS5FvnxQR4ZSAOCRvWWxE-wCVNL1iF6TGQX0DwN-QfS76msnrAh9abzoe0PAoUFGObtqoqOpEbQ2z8hPHvG1ciYSbOORc99gkNkT9N17LQLo87pte5mtaY3cPrm6c6MbcuG0_JpPk7XyK4mIkuPxV-VFHXKnyI85SRnRM-LejnLlbI-xc1Sp_pevhtBEmTBw58VW2kFQRTfEsIfAdsqoHfjHUIhjn7_x_nHhBmEcVBIRvEQiBGIPuDk0CoK8XiQxnlTuqCICWgnAKCRpOCypDDTdzyENgPIho3343-2F_qQJdZJL-sPaA7wukITjHpeok4Xt9DY1PYZD6oclLR-I6ttcEZeAiTfGfiohVUkB1tNJlgh01-u8ML8eCOtfK6nBu2X1nTzChOtdArEbQKB,3d,"Los Angeles, CA"
Glassdoor,creative developer,DreamGro Enterprises,DreamGro Enterprises,None,[Packaging Designer Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dedf242c&cb=1640722318786&jobListingId=1007510054598&cpc=663B5FE45D73772E&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-37c965b9964a9961--6NYlbfkN0CNayYzF1mBaI40OgT78t3Q2d9IxlwDzhsYR4HK7epYUU496kpfJY5-zUjGY9ADaEXRsZiUlxXUlrAxQXo9eTuwkjSg4AsV6BdBiwCEdXhxIkM9Vmp03NvZaC6eA3E-oyUTyjqfFSHeaQUHBfX0i6JhK7W9jakRNb8Xuer6WesAepmmr-Gu02PI1D1rIvGnBK5jJp26FarMV4w8Z880Nd9bjbrEhu8Cq6cGo6OwRbJ_PieecnKcXUnkLrWAXRuasRh8ldvs8rHGCwzv-jFxidVWk9FUFAPrAggxncAD9YUZM4l7noM5g20s9XkWvHyoyaWTgFLgVp8Qxa6juTxaGCJUewQYt4Xhr3FmwbCJwa7L34j6x9abJQraQcS9G-lFX8Dpwk_LsurfjLArgT_zdHX64a6__2HOG7IU7LqiEbz4HjC6uyZ2YVVq2utSOxbKNQkDfaamX7UXwZJ8XytbZEy2FiIkWso2poHLpH162EmeJkUx3knXackjRGy5Rms7BZg%3D),Packaging Designer Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dedf242c&cb=1640722318786&jobListingId=1007510054598&cpc=663B5FE45D73772E&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-37c965b9964a9961--6NYlbfkN0CNayYzF1mBaI40OgT78t3Q2d9IxlwDzhsYR4HK7epYUU496kpfJY5-zUjGY9ADaEXRsZiUlxXUlrAxQXo9eTuwkjSg4AsV6BdBiwCEdXhxIkM9Vmp03NvZaC6eA3E-oyUTyjqfFSHeaQUHBfX0i6JhK7W9jakRNb8Xuer6WesAepmmr-Gu02PI1D1rIvGnBK5jJp26FarMV4w8Z880Nd9bjbrEhu8Cq6cGo6OwRbJ_PieecnKcXUnkLrWAXRuasRh8ldvs8rHGCwzv-jFxidVWk9FUFAPrAggxncAD9YUZM4l7noM5g20s9XkWvHyoyaWTgFLgVp8Qxa6juTxaGCJUewQYt4Xhr3FmwbCJwa7L34j6x9abJQraQcS9G-lFX8Dpwk_LsurfjLArgT_zdHX64a6__2HOG7IU7LqiEbz4HjC6uyZ2YVVq2utSOxbKNQkDfaamX7UXwZJ8XytbZEy2FiIkWso2poHLpH162EmeJkUx3knXackjRGy5Rms7BZg%3D,13d,"New York, NY"
Glassdoor,creative developer,First Station Media,First Station Media,None,[Web Designer Developer](https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e22abd20&cb=1640722318838&jobListingId=1007532534242&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-732526a7ce2320a3-),Web Designer Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000017e02abc35994f90644bd447351&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e22abd20&cb=1640722318838&jobListingId=1007532534242&jrtk=3-0-1fo1anh06u26a801-1fo1anh0ju1j0800-732526a7ce2320a3-,24h,Remote
